MUNICIPIO;NR SEAB;CULTURA;UNIDADE;AREA (HA);PRODUCAO;ABATE;VALOR (R$)
ABATIA;Cornélio Procópio;BANANA;TON;120;3000;;1555920
ABATIA;Cornélio Procópio;BEZERRAS;CAB;;;1869;1967776,65
ABATIA;Cornélio Procópio;BEZERROS;CAB;;;1438;1784644,28
ABATIA;Cornélio Procópio;BOVINOS (BOI GORDO);KG;;18354;494;1281781,8
ABATIA;Cornélio Procópio;CAFE;TON;460;730,94;;4641469
ABATIA;Cornélio Procópio;CAMA DE AVIARIO;TON;;830;;65221,4
ABATIA;Cornélio Procópio;CANA-DE-ACUCAR;TON;520;45760;;2554780,8
ABATIA;Cornélio Procópio;CAPRINOS (PARA CORTE);KG;;100;17;4355,4
ABATIA;Cornélio Procópio;EQUINOS (PARA CORTE);KG;;529;0;0
ABATIA;Cornélio Procópio;EQUINOS > 1 ANO (PARA TRABALHO);UNI;;;53;82995,35
ABATIA;Cornélio Procópio;ESTERCO DE POEDEIRA;TON;;1390;;147034,2
ABATIA;Cornélio Procópio;ESTERCO DE SUINOS/BOVINOS;TON;;1120;;49212,8
ABATIA;Cornélio Procópio;FEIJAO SAFRA DA SECA;TON;36;25,92;;46785,6
ABATIA;Cornélio Procópio;FEIJAO SAFRA DAS AGUAS;TON;26;21,84;;47250,84
ABATIA;Cornélio Procópio;FEIJAO SAFRA DE INVERNO;TON;25;19,5;;37387,94
ABATIA;Cornélio Procópio;FENO DE ALFAFA;TON;250;2875;;1820162,5
ABATIA;Cornélio Procópio;FRANGO DE CORTE (AVES DE CORTE);KG;;91247;547482;2500624,04
ABATIA;Cornélio Procópio;GALINHA CAIPIRA (AVES CAIPIRAS PESO VIVO);KG;;28060;14030;300522,6
ABATIA;Cornélio Procópio;GALINHA REPRODUTORA DESCARTE (PESO VIVO);KG;;96480;84900;443178
ABATIA;Cornélio Procópio;GARROTES;CAB;;;777;1258436,97
ABATIA;Cornélio Procópio;LEITE;MLT;;800;;744000
ABATIA;Cornélio Procópio;MADEIRAS - EM TORA P/OUTRAS FINALIDADES;M3;;930;;45672,3
ABATIA;Cornélio Procópio;MADEIRAS - EM TORA P/SERRARIA - EUCALIPTO;M3;175;;;0
ABATIA;Cornélio Procópio;MADEIRAS - EM TORA P/SERRARIA - OUTRAS;M3;;820;;96989,6
ABATIA;Cornélio Procópio;MADEIRAS - LENHA;M3;;2360;;71980
ABATIA;Cornélio Procópio;MANDIOCA CONSUMO (HUMANO);TON;3;63;;54810
ABATIA;Cornélio Procópio;MARACUJA;TON;4;92;;194120
ABATIA;Cornélio Procópio;MEL;KG;;1500;;13590
ABATIA;Cornélio Procópio;MILHO SAFRA NORMAL;TON;50;249;;87316,83
ABATIA;Cornélio Procópio;MILHO SAFRINHA;TON;1670;9223,41;;3807700,35
ABATIA;Cornélio Procópio;MUDA DE CAFE;UNI;;55000;;25300
ABATIA;Cornélio Procópio;NOVILHAS;CAB;;;2666;3860527,96
ABATIA;Cornélio Procópio;OVINOS (PARA CORTE);KG;;489;244;54987,84
ABATIA;Cornélio Procópio;OVOS DE GALINHA (FECUNDADO);DZ;;1447194;;7887207,3
ABATIA;Cornélio Procópio;OVOS DE GALINHA (PARA CONSUMO);DZ;;6736;;13202,56
ABATIA;Cornélio Procópio;PACU;KG;;0;3000;16530
ABATIA;Cornélio Procópio;PASTAGENS E FORRAGENS;;14910;;;0
ABATIA;Cornélio Procópio;SOJA SAFRA NORMAL;TON;10220;26980,8;;26868290,06
ABATIA;Cornélio Procópio;SUINOS-RACA (para abate);KG;;1080;1730;553254
ABATIA;Cornélio Procópio;TILAPIA;KG;;;12000;47640
ABATIA;Cornélio Procópio;TOMATE RISCO;TON;2;66;;118685,16
ABATIA;Cornélio Procópio;TOMATE SAFRAO;TON;5;189;;437741,01
ABATIA;Cornélio Procópio;TOUROS;CAB;;;10;32538,8
ABATIA;Cornélio Procópio;TRIGO;TON;8370;16949,25;;10556501,38
ABATIA;Cornélio Procópio;VACA (PARA CORTE);KG;;;845;1359774
ABATIA;Cornélio Procópio;VACA (PARA CRIA);CAB;;;127;290243,26
ADRIANOPOLIS;Curitiba;ABOBORA (seca/madura);TON;15;323;;268090
ADRIANOPOLIS;Curitiba;ABOBORA-TETSUKABUTO (KABOTIA);TON;3;63;;52920
ADRIANOPOLIS;Curitiba;ABOBRINHA VERDE;TON;35;735;;698250
ADRIANOPOLIS;Curitiba;AGRIAO AQUATICO;TON;4;86;;182320
ADRIANOPOLIS;Curitiba;ARROZ SEQUEIRO;TON;2;2,1;;1777,65
ADRIANOPOLIS;Curitiba;BANANA;TON;55;2475;;1283634
ADRIANOPOLIS;Curitiba;BATATA DOCE;TON;15;300;;330000
ADRIANOPOLIS;Curitiba;BERINJELA;TON;5;166;;214140
ADRIANOPOLIS;Curitiba;BETERRABA;TON;1;22;;20928,6
ADRIANOPOLIS;Curitiba;BEZERRAS;CAB;;;147;154768,95
ADRIANOPOLIS;Curitiba;BEZERROS;CAB;;;262;325157,72
ADRIANOPOLIS;Curitiba;BOVINOS (BOI GORDO);KG;;16050;1260;2990824,2
ADRIANOPOLIS;Curitiba;BUBALINOS (PARA CORTE);KG;;2645;420;925050
ADRIANOPOLIS;Curitiba;CANA-DE-ACUCAR;TON;400;8400;;468972
ADRIANOPOLIS;Curitiba;CAPRINOS (PARA CORTE);KG;;180;72;14757,12
ADRIANOPOLIS;Curitiba;CAQUI;TON;2;16;;22600
ADRIANOPOLIS;Curitiba;CHUCHU;TON;20;980;;854824,6
ADRIANOPOLIS;Curitiba;COUVE-FLOR;TON;1;22;;93280
ADRIANOPOLIS;Curitiba;ESTERCO DE SUINOS/BOVINOS;TON;;2330;;102380,2
ADRIANOPOLIS;Curitiba;FEIJAO SAFRA DA SECA;TON;300;450;;812250
ADRIANOPOLIS;Curitiba;FEIJAO SAFRA DAS AGUAS;TON;1300;2093;;4528205,5
ADRIANOPOLIS;Curitiba;FEIJAO-VAGEM;TON;35;770;;1432200
ADRIANOPOLIS;Curitiba;GALINHA CAIPIRA (AVES CAIPIRAS PESO VIVO);KG;;35000;52500;1124550
ADRIANOPOLIS;Curitiba;GARROTES;CAB;;;540;874589,4
ADRIANOPOLIS;Curitiba;LA;KG;;160;;468,8
ADRIANOPOLIS;Curitiba;LARANJA;TON;10;150;;51306
ADRIANOPOLIS;Curitiba;LEITE;MLT;;10790;;10034700
ADRIANOPOLIS;Curitiba;LEITE DE BUFALA;LIT;;87500;;88375
ADRIANOPOLIS;Curitiba;LEITE DE CABRA;LIT;0;12150;;24543
ADRIANOPOLIS;Curitiba;MADEIRAS - EM TORA P/LAMINADORA - PINUS;M3;;76800;;8547840
ADRIANOPOLIS;Curitiba;MADEIRAS - EM TORA P/OUTRAS FINALIDADES;M3;;92160;;4525977,6
ADRIANOPOLIS;Curitiba;MADEIRAS - EM TORA P/PAPEL E CELULOSE;M3;;71680;;3694387,2
ADRIANOPOLIS;Curitiba;MADEIRAS - EM TORA P/SERRARIA - EUCALIPTO;M3;2800;50750;;4552275
ADRIANOPOLIS;Curitiba;MADEIRAS - EM TORA P/SERRARIA - PINUS;M3;16000;271360;;22767104
ADRIANOPOLIS;Curitiba;MADEIRAS - LENHA;M3;;21750;;663375
ADRIANOPOLIS;Curitiba;MANDIOCA CONSUMO (HUMANO);TON;1350;22410;;19496700
ADRIANOPOLIS;Curitiba;MANDIOCA INDUSTRIA;TON;150;2490;;437368,5
ADRIANOPOLIS;Curitiba;MARACUJA;TON;18;270;;569700
ADRIANOPOLIS;Curitiba;MEL;KG;;16000;;144960
ADRIANOPOLIS;Curitiba;MELANCIA;TON;10;200;;140000
ADRIANOPOLIS;Curitiba;MILHO SAFRA NORMAL;TON;2400;13982,4;;4903208,21
ADRIANOPOLIS;Curitiba;MILHO VERDE (espiga);UNI;5;200000;;130000
ADRIANOPOLIS;Curitiba;MORANGA;TON;12;264;;145200
ADRIANOPOLIS;Curitiba;NOVILHAS;CAB;;;410;593704,6
ADRIANOPOLIS;Curitiba;OVINOS (PARA CORTE);KG;;150;33;6817,14
