MUNICIPIO,NR SEAB,CULTURA,UNIDADE,AREA (HA),PRODUCAO,ABATE, VALOR (R$) 
ABATIA,Cornélio Procópio,ARROZ SEQUEIRO,TON,2,"4,2",," 3.275,29 "
ABATIA,Cornélio Procópio,BANANA,TON,120,3480,," 2.138.634,00 "
ABATIA,Cornélio Procópio,BEZERRAS,CAB,,,1575," 1.457.646,75 "
ABATIA,Cornélio Procópio,BEZERROS,CAB,,,1980," 2.258.209,80 "
ABATIA,Cornélio Procópio,BOVINOS (BOI GORDO),KG,,17067,887," 2.301.498,90 "
ABATIA,Cornélio Procópio,BUBALINOS (PARA CORTE),KG,,8,2," 4.746,00 "
ABATIA,Cornélio Procópio,CAFE,TON,470,"676,8",," 4.304.448,00 "
ABATIA,Cornélio Procópio,CAMA DE AVIARIO,TON,,2780,," 255.843,40 "
ABATIA,Cornélio Procópio,CANA-DE-ACUCAR,TON,420,36960,," 2.450.078,40 "
ABATIA,Cornélio Procópio,CAPRINOS (PARA CORTE),KG,,91,15," 5.268,00 "
ABATIA,Cornélio Procópio,EQUINOS > 1 ANO (PARA TRABALHO),UNI,,,85," 142.420,05 "
ABATIA,Cornélio Procópio,ESTERCO DE POEDEIRA,TON,,2320,," 293.897,60 "
ABATIA,Cornélio Procópio,ESTERCO DE SUINOS/BOVINOS,TON,,1230,," 57.145,80 "
ABATIA,Cornélio Procópio,FEIJAO SAFRA DA SECA,TON,2,"2,04",," 3.237,13 "
ABATIA,Cornélio Procópio,FEIJAO SAFRA DAS AGUAS,TON,24,"27,36",," 44.519,37 "
ABATIA,Cornélio Procópio,FEIJAO SAFRA DE INVERNO,TON,6,"3,96",," 5.842,31 "
ABATIA,Cornélio Procópio,FENO DE ALFAFA,TON,380,3724,," 3.092.446,84 "
ABATIA,Cornélio Procópio,FRANGO DE CORTE (AVES DE CORTE),KG,,305726,1834360," 9.681.752,08 "
ABATIA,Cornélio Procópio,GALINHA CAIPIRA (AVES CAIPIRAS PESO VIVO),KG,,27000,13000," 406.770,00 "
ABATIA,Cornélio Procópio,GALINHA REPRODUTORA DESCARTE (PESO VIVO),KG,,160000,142000," 640.988,00 "
ABATIA,Cornélio Procópio,GARROTES,CAB,,,1345," 2.131.811,55 "
ABATIA,Cornélio Procópio,LEITE,MLT,,1450,," 1.870.500,00 "
ABATIA,Cornélio Procópio,MADEIRAS - EM TORA P/OUTRAS FINALIDADES,M3,,800,," 21.168,00 "
ABATIA,Cornélio Procópio,MADEIRAS - EM TORA P/SERRARIA - OUTRAS,M3,,780,," 67.719,60 "
ABATIA,Cornélio Procópio,MADEIRAS - LENHA,M3,,2100,," 63.336,00 "
ABATIA,Cornélio Procópio,MANDIOCA CONSUMO (HUMANO),TON,8,"156,8",," 136.416,00 "
ABATIA,Cornélio Procópio,MARACUJA,TON,4,92,," 215.280,00 "
ABATIA,Cornélio Procópio,MEL,KG,,2850,," 36.138,00 "
ABATIA,Cornélio Procópio,MILHO SAFRA NORMAL,TON,100,888,," 453.474,96 "
ABATIA,Cornélio Procópio,MILHO SAFRINHA,TON,5660,"15621,6",," 7.724.881,20 "
ABATIA,Cornélio Procópio,MUDA DE CAFE,UNI,,50000,," 34.500,00 "
ABATIA,Cornélio Procópio,NOVILHAS,CAB,,,1891," 2.625.294,21 "
ABATIA,Cornélio Procópio,OVINOS (PARA CORTE),KG,,383,191," 56.245,68 "
ABATIA,Cornélio Procópio,OVOS DE GALINHA (FECUNDADO),DZ,,1094930,," 7.653.560,70 "
ABATIA,Cornélio Procópio,PACU,KG,,,3000," 20.580,00 "
ABATIA,Cornélio Procópio,PASTAGENS E FORRAGENS,HA,14280,,, -   
ABATIA,Cornélio Procópio,SOJA SAFRA NORMAL,TON,10600,33708,," 39.162.965,64 "
ABATIA,Cornélio Procópio,SUINOS-RACA (para abate),KG,,1030,1750," 561.015,00 "
ABATIA,Cornélio Procópio,TILAPIA,KG,,,8000," 39.280,00 "
ABATIA,Cornélio Procópio,TOMATE RISCO,TON,8,"285,6",," 633.412,25 "
ABATIA,Cornélio Procópio,TOMATE SAFRAO,TON,5,227,," 495.747,57 "
ABATIA,Cornélio Procópio,TOUROS,CAB,,,12," 37.892,40 "
ABATIA,Cornélio Procópio,TRIGO,TON,3490,"2931,6",," 2.190.403,57 "
ABATIA,Cornélio Procópio,VACA (PARA CORTE),KG,,,1048," 1.658.145,60 "
ABATIA,Cornélio Procópio,VACA (PARA CRIA),CAB,,,46," 87.212,78 "
ADRIANOPOLIS,Curitiba,ABACATE,TON,6,72,," 133.848,00 "
ADRIANOPOLIS,Curitiba,ABACAXI,TON,2,18,," 23.040,00 "
ADRIANOPOLIS,Curitiba,ABOBORA (seca/madura),TON,12,240,," 220.800,00 "
ADRIANOPOLIS,Curitiba,ABOBORA-TETSUKABUTO (KABOTIA),TON,2,42,," 26.460,00 "
ADRIANOPOLIS,Curitiba,ABOBRINHA VERDE,TON,40,920,," 809.600,00 "
ADRIANOPOLIS,Curitiba,ALFACE,TON,10,195,," 231.184,20 "
ADRIANOPOLIS,Curitiba,ARROZ SEQUEIRO,TON,10,18,," 14.036,94 "
ADRIANOPOLIS,Curitiba,BANANA,TON,100,3200,," 1.966.560,00 "
ADRIANOPOLIS,Curitiba,BATATA DOCE,TON,10,200,," 256.000,00 "
ADRIANOPOLIS,Curitiba,BERINJELA,TON,2,56,," 40.320,00 "
