MUNICIPIO,IBGE,AREA
Abatiá,4100103,227.95588
Adrianópolis,4100202,1342.45725
Agudos do Sul,4100301,191.84432
Almirante Tamandaré,4100400,193.97815
Altamira do Paraná,4100459,388.48752
Alto Paraíso,4128625,1045.11505
Alto Paraná,4100608,407.78584
Alto Piquiri,4100707,448.46422
Altônia,4100509,728.31079
Alvorada do Sul,4100806,427.42748
Amaporã,4100905,384.01817
Ampére,4101002,298.15371
Anahy,4101051,105.13154
Andirá,4101101,233.53902
Ângulo,4101150,105.64129
Antonina,4101200,887.76994
Antônio Olinto,4101309,466.64497
Apucarana,4101408,557.04271
Arapongas,4101507,382.55553
Arapoti,4101606,1364.51757
Arapuã,4101655,217.69262
Araruna,4101705,494.01953
Araucária,4101804,470.01743
Ariranha do Ivaí,4101853,240.53357
Assaí,4101903,441.79449
Assis Chateaubriand,4102000,978.05758
Astorga,4102109,436.17686
Atalaia,4102208,137.24574
Balsa Nova,4102307,347.61804
Bandeirantes,4102406,446.07122
Barbosa Ferraz,4102505,534.67258
Barra do Jacaré,4102703,115.61968
Barracão,4102604,164.91762
Bela Vista da Caroba,4102752,148.15511
Bela Vista do Paraíso,4102802,245.48836
Bituruna,4102901,1237.83946
Boa Esperança,4103008,301.44650
Boa Esperança do Iguaçu,4103024,150.98974
Boa Ventura de São Roque,4103040,621.42736
Boa Vista da Aparecida,4103057,265.80081
Bocaiúva do Sul,4103107,812.21662
Bom Jesus do Sul,4103156,176.94730
Bom Sucesso,4103206,321.49711
Bom Sucesso do Sul,4103222,196.96701
Borrazópolis,4103305,338.50886
Braganey,4103354,342.41346
Brasilândia do Sul,4103370,291.43891
Cafeara,4103404,184.90338
Cafelândia,4103453,275.03230
Cafezal do Sul,4103479,331.44951
Califórnia,4103503,141.58687
Cambará,4103602,371.48384
Cambé,4103701,497.74738
Cambira,4103800,163.34820
Campina da Lagoa,4103909,799.09159
Campina do Simão,4103958,450.25751
Campina Grande do Sul,4104006,542.12843
Campo Bonito,4104055,427.89585
Campo do Tenente,4104105,304.63537
Campo Largo,4104204,1241.18794
Campo Magro,4104253,274.57851
Campo Mourão,4104303,746.59505
Cândido de Abreu,4104402,1508.18908
Candói,4104428,1509.64433
Cantagalo,4104451,583.13602
Capanema,4104501,416.88289
Capitão Leônidas Marques,4104600,277.97913
Carambeí,4104659,648.74586
Carlópolis,4104709,454.13676
Cascavel,4104808,2086.38517
Castro,4104907,2526.14733
Catanduvas,4105003,587.25684
Centenário do Sul,4105102,370.35394
Cerro Azul,4105201,1350.33202
Céu Azul,4105300,1176.59783
Chopinzinho,4105409,958.65177
Cianorte,4105508,810.74216
Cidade Gaúcha,4105607,403.25654
Clevelândia,4105706,701.96576
Colombo,4105805,197.37711
Colorado,4105904,408.73048
Congonhinhas,4106001,535.79295
Conselheiro Mairinck,4106100,204.50573
Contenda,4106209,295.80621
Corbélia,4106308,528.35314
Cornélio Procópio,4106407,635.69757
Coronel Domingos Soares,4106456,1553.69174
Coronel Vivida,4106506,682.03626
Corumbataí do Sul,4106555,167.89567
Cruz Machado,4106803,1477.01331
Cruzeiro do Iguaçu,4106571,160.13014
Cruzeiro do Oeste,4106605,775.43318
Cruzeiro do Sul,4106704,258.96965
Cruzmaltina,4106852,306.18950
Curitiba,4106902,434.87115
Curiúva,4107009,574.95974
Diamante do Norte,4107108,242.27945
Diamante do Sul,4107124,347.16769
Diamante D'Oeste,4107157,308.03828
Dois Vizinhos,4107207,419.43647
Douradina,4107256,421.15155
Doutor Camargo,4107306,117.95805
Doutor Ulysses,4128633,780.78542
Enéas Marques,4107405,194.32487
Engenheiro Beltrão,4107504,470.20971
Entre Rios do Oeste,4107538,120.12691
Esperança Nova,4107520,143.14437
Espigão Alto do Iguaçu,4107546,326.07602
Farol,4107553,289.44435
Faxinal,4107603,715.57217
Fazenda Rio Grande,4107652,116.77552
Fênix,4107702,233.84384
Fernandes Pinheiro,4107736,404.49631
Figueira,4107751,129.69279
Flor da Serra do Sul,4107850,249.40247
Floraí,4107801,189.80443
Floresta,4107900,161.64560
Florestópolis,4108007,246.83145
Flórida,4108106,83.81826
Formosa do Oeste,4108205,275.52401
Foz do Iguaçu,4108304,608.35673
Foz do Jordão,4108452,230.76197
Francisco Alves,4108320,319.91242
Francisco Beltrão,4108403,732.93911
General Carneiro,4108502,1072.21447
Godoy Moreira,4108551,130.31725
Goioerê,4108601,564.60472
Goioxim,4108650,702.81109
Grandes Rios,4108700,308.58676
Guaíra,4108809,568.70867
Guairaçá,4108908,495.77410
Guamiranga,4108957,243.54926
Guapirama,4109005,188.39920
Guaporema,4109104,200.59650
