,codibge,MUNICIPIO,NR_SEAB,VALOR,VALORdivAREA
0,4128807,XAMBRE,UMUARAMA,145450318.12,4571935517.86523
1,4106852,CRUZMALTINA,IVAIPORA,189105395.22,6959201187.192347
2,4125407,SAO JOSE DA BOA VISTA,JACAREZINHO,277640409.32,7841770456.997298
3,4124004,SANTANA DO ITARARE,JACAREZINHO,164471273.43,7374714774.098415
4,4126207,SAPOPEMA,CORNELIO PROCOPIO,104438746.45,1737449245.0320098
5,4105508,CIANORTE,CIANORTE,880154450.81,12259805247.194172
6,4107520,ESPERANCA NOVA,UMUARAMA,144526701.16,11403152695.600365
7,4123824,SANTA LUCIA,CASCAVEL,172502700.62,14929948100.48554
8,4103305,BORRAZOPOLIS,IVAIPORA,217073605.99,7230271306.617297
9,4107009,CURIUVA,JACAREZINHO,147344653.32,2887814750.5513744
10,4107751,FIGUEIRA,JACAREZINHO,44490871.63,3869701714.556952
11,4127502,TIBAGI,PONTA GROSSA,1263585048.27,4765103183.504243
12,4120358,PRANCHITA,FRANCISCO BELTRAO,228424477.68,11222055886.886044
13,4119004,PEROLA DO OESTE,FRANCISCO BELTRAO,214632793.19,11688583164.013096
14,4127882,TUNAS DO PARANA,CURITIBA,73443587.85,1221272425.8851924
15,4100202,ADRIANOPOLIS,CURITIBA,118667019.19,990174848.8173082
16,4102901,BITURUNA,UNIAO DA VITORIA,323409793.78000003,2893788501.6946707
17,4105409,CHOPINZINHO,PATO BRANCO,764713301.59,8861652583.992437
18,4113205,LAPA,CURITIBA,843048223.47,4464595400.676652
19,4124806,SAO JOAO,PATO BRANCO,473135223.98,13645939270.317331
20,4111209,ITAPEJARA DO OESTE,PATO BRANCO,434095163.74,18969359299.408447
21,4101804,ARAUCARIA,CURITIBA,412575535.46,9767760335.620775
22,4101705,ARARUNA,CAMPO MOURAO,362821715.7,8279647147.77146
23,4127908,TUNEIRAS DO OESTE,CIANORTE,293405317.88,4722854913.991201
24,4119806,PLANALTO,FRANCISCO BELTRAO,323059832.5,10353644416.421225
25,4108452,FOZ DO JORDAO,GUARAPUAVA,139370870.65,6715715555.7675495
26,4125605,SAO MATEUS DO SUL,UNIAO DA VITORIA,553501086.1999999,4578039101.566982
27,4123006,SALTO DO LONTRA,DOIS VIZINHOS,519243697.0,18467595976.33671
28,4123808,SANTA IZABEL DO OESTE,FRANCISCO BELTRAO,496675352.84000003,17124715509.31251
29,4115705,MATINHOS,PARANAGUA,10237423.72,977074093.7596993
30,4118204,PARANAGUA,PARANAGUA,22824321.55,314025699.1585863
31,4113908,MALLET,IRATI,229212061.81,3384106101.7432065
32,4122008,RIO AZUL,IRATI,368255026.37,6814314063.932674
33,4106803,CRUZ MACHADO,UNIAO DA VITORIA,453059553.34,3404489509.750464
34,4110201,INACIO MARTINS,IRATI,263234261.82999998,3120063937.4346447
35,4126272,SAUDADES DO IGUACU,PATO BRANCO,187073864.13,13922708540.8065
36,4106902,CURITIBA,CURITIBA,14792868.02,378930765.2551932
37,4104204,CAMPO LARGO,CURITIBA,280284732.12,2519278737.3964534
38,4120606,PRUDENTOPOLIS,GUARAPUAVA,798819377.56,3952449137.4576406
39,4120804,QUATRO BARRAS,CURITIBA,11530420.08,711569646.0647417
40,4105805,COLOMBO,CURITIBA,255080763.06,14416241798.661772
41,4113452,LINDOESTE,CASCAVEL,245691278.0,7920525042.336537
42,4107736,FERNANDES PINHEIRO,IRATI,261337921.86999997,7194854219.731275
43,4110102,IMBITUVA,IRATI,485659966.36,7127880697.52556
44,4104808,CASCAVEL,CASCAVEL,2278344931.21,12205071134.668491
45,4128658,VIRMOND,LARANJEIRAS DO SUL,134137654.4,6008636114.144431
46,4104451,CANTAGALO,GUARAPUAVA,248352922.24,4751580849.501243
47,4107546,ESPIGAO ALTO DO IGUACU,LARANJEIRAS DO SUL,197419677.01999998,6751199623.454245
48,4117057,NOVA LARANJEIRAS,LARANJEIRAS DO SUL,333303798.57,3077672852.4218736
49,4108304,FOZ DO IGUACU,CASCAVEL,159838612.22,2927022150.7953663
50,4119905,PONTA GROSSA,PONTA GROSSA,822371957.4399999,4496974178.134133
51,4108650,GOIOXIM,GUARAPUAVA,287321283.6,4566856166.992931
52,4115457,MARQUINHO,LARANJEIRAS DO SUL,138502883.28,3073971669.573042
53,4124020,SANTA TEREZA DO OESTE,CASCAVEL,320641226.66999996,10963633303.566973
54,4104055,CAMPO BONITO,CASCAVEL,316761136.55,8282762888.596459
55,4109302,GUARANIACU,LARANJEIRAS DO SUL,584359889.94,5279731157.071018
56,4111407,IVAI,PONTA GROSSA,283895917.45,5277094345.945394
57,4106704,CRUZEIRO DO SUL,PARANAVAI,181735964.24,7968326555.928322
58,4118105,PARANACITY,PARANAVAI,114410848.52,3738953679.3278065
59,4123402,SANTA FE,MARINGA,282192033.27,11591052968.806343
60,4113601,LOBATO,MARINGA,144155120.28,6804073106.610476
61,4108957,GUAMIRANGA,IRATI,180788992.51,8289594667.998068
62,4121257,RAMILANDIA,CASCAVEL,135487276.89,6306284677.793751
63,4118303,PARANAPOEMA,PARANAVAI,49496370.25,3160237183.6515737
64,4109757,IBEMA,CASCAVEL,111130996.63,8260517990.617797
65,4115903,MIRADOR,PARANAVAI,146525421.74,7475874227.966449
66,4100905,AMAPORA,PARANAVAI,151402597.98,4472125698.189759
67,4102505,BARBOSA FERRAZ,CAMPO MOURAO,210244324.62,4428730778.900227
68,4107702,FENIX,CAMPO MOURAO,163842870.54,7902156297.158572
69,4122651,ROSARIO DO IVAI,IVAIPORA,119784501.50999999,3564125362.876214
70,4108908,GUAIRACA,PARANAVAI,230132580.9,5273205028.52413
71,4125803,SAO PEDRO DO IVAI,IVAIPORA,165516139.5,5783442974.7293415
72,4103206,BOM SUCESSO,APUCARANA,194906906.31,6847082294.065492
73,4123857,SANTA MARIA DO OESTE,PITANGA,209837650.59,2823725372.489417
74,4103040,BOA VENTURA DE SAO ROQUE,PITANGA,258058151.95,4648990081.127281
75,4103958,CAMPINA DO SIMAO,GUARAPUAVA,161162469.76,3998407975.730034
76,4117800,PALMITAL,PITANGA,271597307.93,3718260335.185668
77,4107124,DIAMANTE DO SUL,LARANJEIRAS DO SUL,92156594.61,2968641983.5407867
78,4104907,CASTRO,PONTA GROSSA,2265447537.96,10044246271.179071
79,4128559,VERA CRUZ DO OESTE,CASCAVEL,409193183.77,13826196977.72307
80,4125753,SAO PEDRO DO IGUACU,TOLEDO,339081550.61,12277786121.099949
81,4126306,SENGES,PONTA GROSSA,269739180.32,2106314216.4594607
82,4117453,OURO VERDE DO OESTE,TOLEDO,464938975.01,17706217709.251644
83,4110508,IPIRANGA,PONTA GROSSA,495832701.44,5987296784.982349
84,4127957,TUPASSI,TOLEDO,533506763.04,19953907693.213493
85,4103909,CAMPINA DA LAGOA,CAMPO MOURAO,485570256.58,6815643532.833862
86,4104659,CARAMBEI,PONTA GROSSA,1170973911.89,20201185837.985477
87,4127965,TURVO,GUARAPUAVA,273905626.28999996,3276179933.641085
88,4104402,CANDIDO DE ABREU,PITANGA,335947242.07,2497830561.8294344
89,4113254,LARANJAL,PITANGA,141000309.64,2824683704.7861156
90,4116802,NOVA CANTU,CAMPO MOURAO,303766555.99,6155538336.299213
91,4114609,MARECHAL CANDIDO RONDON,TOLEDO,1475308242.78,22140570229.681778
92,4119608,PITANGA,PITANGA,637583301.7700001,4293191467.5944676
93,4121604,RENASCENCA,FRANCISCO BELTRAO,350182276.36,9103734982.199272
94,4105201,CERRO AZUL,CURITIBA,441993712.98,3663889288.377184
95,4115739,MATO RICO,PITANGA,135217548.26999998,3823864456.63898
96,4122503,RONCADOR,CAMPO MOURAO,485770540.09000003,7351040181.523709
97,4106308,CORBELIA,CASCAVEL,760005341.35,16118161579.39099
98,4110052,IGUATU,CASCAVEL,109769085.02,11469112452.459225
99,4101051,ANAHY,CASCAVEL,146699034.04,15647679505.282404
100,4128005,UBIRATA,CAMPO MOURAO,897979091.47,15432803413.259691
101,4112959,JURANDA,CAMPO MOURAO,281373134.37,8923569543.371212
102,4117222,NOVA SANTA ROSA,TOLEDO,701825930.41,38482747918.36622
103,4120853,QUATRO PONTES,TOLEDO,395942825.32,38403866414.05624
104,4127700,TOLEDO,TOLEDO,3489930992.3599997,32748090707.211254
105,4114500,MANOEL RIBAS,PITANGA,388477156.06,7629408015.918113
106,4101853,ARIRANHA DO IVAI,IVAIPORA,169423576.44,7915167959.176684
107,4117271,NOVA TEBAS,PITANGA,187307555.47,3856047764.5332465
108,4110805,IRETAMA,CAMPO MOURAO,219967961.37,4329761679.381833
109,4115358,MARIPA,TOLEDO,615532826.07,24377988819.710842
110,4120655,QUARTO CENTENARIO,CAMPO MOURAO,360444231.57,12568221717.33577
111,4121356,RANCHO ALEGRE DO OESTE,CAMPO MOURAO,229762179.91,10768320235.526052
112,4110078,IMBAU,PONTA GROSSA,44236658.49,1498099697.829198
113,4102000,ASSIS CHATEAUBRIAND,TOLEDO,1349252110.67,15496138869.91454
114,4111506,IVAIPORA,IVAIPORA,263342984.86,6872414482.26954
115,4119400,PIRAI DO SUL,PONTA GROSSA,1026227591.36,8574194053.057183
116,4112009,JAGUARIAIVA,PONTA GROSSA,505237001.33,3924190924.393788
117,4108601,GOIOERE,CAMPO MOURAO,574789497.86,11458030082.947985
118,4103008,BOA ESPERANCA,CAMPO MOURAO,224277935.88000003,8368338173.182694
119,4115101,MARILUZ,UMUARAMA,205777293.63,5394070917.604668
120,4106555,CORUMBATAI DO SUL,CAMPO MOURAO,84446498.6,5663148203.490895
121,4116109,MOREIRA SALES,CAMPO MOURAO,233310027.7,7430062132.832656
122,4127106,TELEMACO BORBA,PONTA GROSSA,266986729.71,2172111025.362625
123,4128534,VENTANIA,PONTA GROSSA,255803673.28,3519725993.449674
